"Story","Title","Result","Date","Stability","Duration (s)"
"Contacto con el Cliente","Como cliente proporciono la informacion necesaria para que me puedan responder","SUCCESS","2022-03-26T23:21:23.956-05:00[America/Bogota]","0.0","109.58"
"Contacto con el Cliente","Como cliente proporciono datos de contacto sin la informacion de correo electronico","SUCCESS","2022-03-26T23:23:16.722-05:00[America/Bogota]","0.0","159.06"
"Crear una cuenta","Como cliente proporciono la informacion necesaria para poder crear una cuenta","SUCCESS","2022-03-26T23:28:54.737-05:00[America/Bogota]","0.0","92.88"
"Crear una cuenta","Como cliente proporciono datos de contacto sin llenar el campo password","SUCCESS","2022-03-26T23:30:30.202-05:00[America/Bogota]","0.0","87.81"
"Loguearse en una cuenta","Como cliente proporciono la informacion necesaria para poder ingresar a mi cuenta","SUCCESS","2022-03-26T23:33:24.42-05:00[America/Bogota]","0.0","116.02"
"Loguearse en una cuenta","Como cliente proporciono la contrasena sin un correo","SUCCESS","2022-03-26T23:35:21.845-05:00[America/Bogota]","0.0","88.53"
