"Story","Title","Result","Date","Stability","Duration (s)"
"Crear una cuenta","Como cliente proporciono la informacion necesaria para poder crear una cuenta","SUCCESS","2022-03-26T23:28:54.737-05:00[America/Bogota]","0.0","92.88"
"Crear una cuenta","Como cliente proporciono datos de contacto sin llenar el campo password","SUCCESS","2022-03-26T23:30:30.202-05:00[America/Bogota]","0.0","87.81"
