"Story","Title","Result","Date","Stability","Duration (s)"
"Loguearse en una cuenta","Como cliente proporciono la informacion necesaria para poder ingresar a mi cuenta","SUCCESS","2022-03-26T23:33:24.42-05:00[America/Bogota]","0.0","116.02"
"Loguearse en una cuenta","Como cliente proporciono la contrasena sin un correo","SUCCESS","2022-03-26T23:35:21.845-05:00[America/Bogota]","0.0","88.53"
